Feature,Category,Color,Clarity,Perceived Malt Aroma & Flavor,Perceived Hop Aroma & Flavor,Perceived Bitterness,Fermentation Characteristics,Body,Additional notes,Original Gravity (°Plato),Apparent Extract/Final Gravity (°Plato),Alcohol by Weight (Volume),Bitterness (IBU),Color SRM (EBC)
11,Old Ale,Copper-red to very dark,Chill haze is acceptable at low temperatures,Fruity esters can enhance and complement the malt aroma and ﬂavor proﬁle. Old Ales have malt and sometimes caramel sweetness.,Very low to medium,"Present but minimal, and balanced with malt flavors.","Fruity esters can contribute to the character of these beers. Alcohol types can be varied and complex. A distinctive quality of Old Ales is that they undergo an aging process, often for years. Aging can occur on their yeast either in bulk storage or through conditioning in the bottle. This contributes to a rich, wine-like, and often sweet, oxidized character. Complex estery attributes may also emerge. Diacetyl is usually absent in these beers but may be present at very low levels.",Medium to full,"Pleasant, low-level oxidation is acceptable in Scotch Ales. Examples exhibiting more prevalent oxidation are categorized as Aged Beer. While there are conflicting theories as to whether traditional Scotch Ales exhibited peat smoke character, the current marketplace offers many examples with peat smoke character present at low to medium levels. Peat smoke attributes may be absent or present at low to medium levels. Versions exhibiting higher levels of smoke character are categorized as Smoke Beer. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may create subcategories which reflect groups of entries based on presence or absence of peat smoke-derived attributes.",1.058-1.088 (14.3-21.1 °Plato),1.014-1.03 (3.6-7.6 °Plato),5.00%-7.20% (6.30%-9.10%),30-65,12-30(24-60 EBC)
12,English-Style Pale Mild Ale,Light amber to medium amber,Chill haze is acceptable at low temperatures,Malt ﬂavor and aroma dominate the ﬂavor proﬁle,Very low to low,Very low to low,Diacetyl is usually absent in these beers but may be present at very low levels. Fruity esters are very low to medium-low.,Low to medium-low,This style was also originally called ‘Russian Imperial Stout’.,1.03-1.036 (7.6-9 °Plato),1.004-1.008 (1-2.1 °Plato),2.70%-3.40% (3.40%-4.40%),10-20,6-9(12-18 EBC)
13,English-Style Dark Mild Ale,Reddish-brown to very dark,Chill haze is acceptable at low temperatures,"Malt attributes such as caramel, licorice, roast or others may be present in aroma and flavor.",Very low,Very low to low,Diacetyl is usually absent in these beers but may be present at very low levels. Fruity esters are very low to medium-low.,Medium-low to medium,"These are any traditional or experimental style of lager, ale or hybrid beer aged in either a wooden barrel or in contact with wood chips, spirals, strips or many other formats. These beers are aged with the intention of developing unique attributes imparted by the wood, or liquids that had previously been stored in contact with the wood. Wood-aging does not necessarily impart wood flavors, but does result in distinctive sensory outcomes. Used sherry, rum, whiskey, tequila, port, wine, and other barrels are often used, imparting complexity and uniqueness to a beer. A balance of flavor, aroma, and mouthfeel results from the marriage of new beer with attributes imparted by the wood or barrel. Categorizing these beers can be complex. Sour versions which do not exhibit attributes typical of Brettanomyces are categorized as Wood-Aged Sour Beer. Wood-Aged Beers which exhibit sensory attributes typical of Brettanomyces alone, or of Brettanomyces and other microbes, are categorized as Brett Beer or Mixed-Culture Brett Beer respectively. Wood-aged versions of various classic India Pale Ales are categorized as Experimental India Pale Ale. Belgian-style ales that exhibit attributes of wood-aging are categorized as Other Belgian Ale or within other Belgian categories. Various fruited Belgian-style beers that exhibit attributes of wood-aging are categorized as BelgianStyle Fruit Beer; similarly, Saison aged in wood and",1.03-1.036 (7.6-9 °Plato),1.004-1.008 (1-2.1 °Plato),2.70%-3.40% (3.40%-4.40%),10-24,17-34(34-68 EBC)
14,English-Style Brown Ale,Copper to dark brown,Chill haze is acceptable at low temperatures,Roast malt may contribute to a biscuit or toasted aroma proﬁle. Roast malt may contribute to the ﬂavor proﬁle. Malt profile can range from dry to sweet.,Very low,Very low to low,Low to medium-low level fruity esters are appropriate. Diacetyl is usually absent in these beers but may be present at very low levels.,Medium,Head retention should be persistent,1.04-1.05 (10-12.4 °Plato),1.008-1.014 (2.1-3.6 °Plato),3.30%-4.70% (4.20%-6.00%),12-25,12-24(24-48 EBC)
15,Brown Porter,Dark brown to very dark. May have red tint.,"Beer color may be too dark to perceive clarity. When clarity is perceivable, chill haze is acceptable at low temperatures.",Low to medium malt sweetness. Caramel and chocolate attributes are acceptable. Strong roast barley or strong burnt or black malt character should not be present.,Very low to medium,Medium,Fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at low levels.,Low to medium,Head retention should be persistent,1.04-1.05 (10-12.4 °Plato),1.006-1.014 (1.5-3.6 °Plato),3.50%-4.70% (4.40%-6.00%),20-30,20-35(40-70 EBC)
16,Robust Porter,Very dark brown to black,Opaque,"Medium to medium-high. Malty sweetness, roast malt, cocoa and caramel should be in harmony with bitterness from dark malts.",Very low to medium,Medium to high,Fruity esters should be present and balanced with all other characters. Diacetyl should not be present.,Medium to full,"Session India Pale Ales are lower alcohol versions of any of the various American, Juicy or Hazy, British or other India Pale Ale styles from around the world. Balance and high drinkability are key to a successful Session India Pale Ale. Hop aroma and flavor attributes hew to the underlying India Pale Ale style being made at lower strength. Beers exceeding 5.0% abv are not considered Session India Pale Ales. Beers under 5.0% abv (4.0% abw) which meet the criteria for another classic or traditional style category are not considered Session India Pale Ales. An India Pale Ale made to alcohol content below 0.5% abv (0.4% abw) is categorized as a Non-Alcohol Malt Beverage.",1.045-1.06 (11.2-14.7 °Plato),1.008-1.016 (2.1-4.1 °Plato),4.00%-5.20% (5.10%-6.60%),25-40,30+(60+ EBC)
17,Sweet Stout or Cream Stout,Black,Opaque,"Medium to medium-high. Malt sweetness, chocolate and caramel should contribute to the aroma and should dominate the ﬂavor proﬁle. Roast ﬂavor may be present. Low to medium-low roasted malt-derived bitterness should be present.",Should not be present,Low to medium-low and serves to balance and suppress some of the sweetness without contributing apparent ﬂavor and aroma,"Fruity esters, if present, are low. Diacetyl should not be present.",Full-bodied. Body can be increased with the addition of milk sugar (lactose).,"Grist may include oats, wheat, or other adjuncts to promote haziness. The term ‘juicy’ is frequently used to describe taste and aroma attributes often present in these beers which result from late, often very large, additions of hops. A juicy character is not required, however. Other hop-derived attributes such as citrus, pine, spice, floral or others may be present with or without the presence of juicy attributes. Likewise the term ‘hazy’ is frequently used to describe the appearance of many examples of these beers. However, some versions may exhibit very low cloudiness.",1.045-1.056 (11.2-13.8 °Plato),1.012-1.02 (3.1-5.1 °Plato),2.50%-5.00% (3.20%-6.30%),15-25,40+(80+ EBC)
18,Oatmeal Stout,Dark brown to black,"Beer color may be too dark to perceive. When clarity is perceivable, chill haze is acceptable at low temperatures.","Coffee, caramel, roasted malt, or chocolate aromas should be prominent. Roasted malt character of caramel or chocolate should be smooth without bitterness.","Optional, but if present should not upset the overall balance.",Medium,"Oatmeal is used in the grist, resulting in a pleasant, full ﬂavor without being grainy. Fruity esters are not present to very low. Diacetyl is usually absent in these beers but may be present at very low levels.",Full with an often-silky mouthfeel,"Grist may include oats, wheat, or other adjuncts to promote haziness. Lactose may be used to enhance body and balance. Lactose should not lend to, or overwhelm, the flavor character of these beers. The term ‘juicy’ is frequently used to describe taste and aroma attributes often present in these beers which result from late, often very large, additions of hops. A juicy character is not required, however. Other hop-derived attributes such as citrus, pine, spice, floral or others may be present with or without the presence of juicy attributes. Likewise the term ‘hazy’ is frequently used to describe the appearance of many examples of these beers. However, some versions may exhibit very low cloudiness. These beers can exhibit astringency and heat (sometimes referred to as ‘hop burn’) as a result of very high hop usage rates and excessive contact time in beer, which can detract from balance and drinkability when present above low levels.",1.038-1.056 (9.5-13.8 °Plato),1.008-1.02 (2.1-5.1 °Plato),3.00%-4.80% (3.80%-6.10%),20-40,20+(40+ EBC)
19,Scotch Ale or Wee Heavy,Light reddish-brown to very dark,Chill haze is acceptable at low temperatures,Scotch Ales are aggressively malty with a rich and dominant sweet malt aroma and ﬂavor. A caramel character is often part of the proﬁle. Dark roasted malt ﬂavors may be present at low levels.,Not present to very low,Not present to very low,"Fruity esters, if present, are generally at low levels. Diacetyl is usually absent in these beers but may be present at low levels.",Full,"The use of water with high mineral content may result in a crisp, dry beer rather than a malt-accentuated version. Sugar adjuncts may be used to enhance body and balance. Hops of varied origins may be used for bitterness or for approximating traditional American character. Versions of this style brewed with non-traditional yeasts, fruits, spices, or other flavorings are categorized as Experimental India Pale Ales. Versions of this style brewed with darker malts, may be categorized as Experimental India Pale Ales, or possibly as American-Style Black Ale. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may choose to create subcategories which reflect the use of different types of hops or malts, and associated sensory outcomes.",1.072-1.085 (17.5-20.4 °Plato),1.016-1.028 (4.1-7.1 °Plato),5.20%-6.70% (6.60%-8.50%),25-35,15-30(30-60 EBC)
20,British-Style Imperial Stout,"Ranging from dark copper typical of some historic examples, to very dark more typical of contemporary examples","Opaque in darker versions. When clarity is perceivable, chill haze is acceptable at low temperatures.","Extremely rich malty ﬂavor, often expressed as toffee or caramel, and may be accompanied by very low roasted malt astringency.","Very low to medium, with ﬂoral, citrus or herbal qualities.",Medium and should not overwhelm the overall balance. The bitterness may be higher in darker versions while maintaining balance with sweet malt.,High alcohol content is evident. Fruity esters if present are medium to high. Diacetyl should not be present.,Full,"Grist may include oats, wheat, or other adjuncts to promote haziness. Lactose may be used to enhance body and balance. Lactose should not lend to, or overwhelm, the flavor character of these beers. The term ‘juicy’ is frequently used to describe flavor and aroma attributes often present in these beers which result from late, often very large, additions of hops. A juicy character is not required, however. Other hop-derived attributes such as citrus, pine, spice, floral or others may be present with or without the presence of juicy attributes. Likewise the term ‘hazy’ is frequently used to describe the appearance of many examples of these beers. However, some versions may exhibit very low cloudiness. These beers can exhibit astringency and heat (sometimes referred to as ‘hop burn’) as a result of very high hop usage rates and excessive contact time in beer, which can detract from balance and drinkability when present above low levels. Versions of this style brewed with non-traditional yeasts, fruits, spices, or other flavorings are categorized as Experimental India Pale Ales. Versions of this style brewed with darker malts may be categorized as Experimental India Pale Ales, or possibly as American-Style Black Ale. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may choose to create subcategories which reflect the use of colored malts and associated hue and aroma and flavor attributes, or based on types of hops used.",1.08-1.1 (19.3-23.7 °Plato),1.02-1.03 (5.1-7.6 °Plato),5.50%-9.50% (7.00%-12.00%),45-65,20-35+(40-70+ EBC)
21,British-Style Barley Wine Ale,Tawny copper to deep red/copper-garnet,Chill haze is acceptable at low temperatures,Residual malty sweetness is high,Hop aroma and ﬂavor are very low to medium. English type hops are often used but are not required for this style.,Low to medium,Complexity of alcohols and fruity ester attributes are often high and balanced with the high alcohol content. Low levels of diacetyl are acceptable. Low carbonation is acceptable in this style.  Caramel and some oxidized character (vinous aromas or ﬂavors) may be considered positive attributes.,Full,"American-Belgo-Style Ales are either 1) non-Belgian beer types portraying the unique characters imparted by yeasts typically used in big, fruity Belgian-style ales, or 2) deﬁned Belgian-style beers displaying the hallmark attributes typical of American variety hops. These beers are unique unto themselves. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as ingredients or processing which influence perceived sensory outcomes. Competition organizers may create subcategories which reflect groups of entries based on color, hop varieties, or underlying beer styles.",1.085-1.12 (20.4-28 °Plato),1.024-1.028 (6.1-7.1 °Plato),6.70%-9.60% (8.50%-12.20%),40-65,11-36(22-72 EBC)
22,Wood- and Barrel-Aged Beer,Varies with underlying style and can be influenced by the color of added fruit(s) if any,Varies with underlying style,Varies with underlying style,Varies with underlying style,Varies with underlying style,Typical of underlying style of beer being aged,Varies with underlying style,Black ales that do not meet the specifications for American-Style Black Ale may possibly be categorized as Experimental India Pale Ale.,Varies with style,Varies with style,Varies with style,Varies with style,Varies with style
23,Irish-Style Red Ale,Copper-red to reddish-brown,Chill haze or yeast haze may be present at low levels,"Low to medium candy-like caramel malt sweetness should be present in ﬂavor. A toasted malt character should be present, and there may be a slight roast barley or roast malt presence.",Not present to medium,Medium,Low level fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at very low levels.,Medium,Head retention should be persistent,1.04-1.048 (10-11.9 °Plato),1.01-1.014 (2.6-3.6 °Plato),3.20%-3.80% (4.00%-4.80%),20-28,11-18(22-36 EBC)
24,Classic Irish-Style Dry Stout,Black,Opaque,The prominence of coffee-like roasted barley and a moderate degree of roasted malt aroma and flavor deﬁnes much of the character. The hallmark dry-roasted attributes typical of Dry Stout result from the use of roasted barley. Initial malt and light caramel ﬂavors give way to a distinctive dry-roasted bitterness in the ﬁnish.,European hop character may range from not present to low in aroma and ﬂavor,Medium to medium-high,Fruity esters are low relative to malt and roasted barley as well as hop bitterness. Diacetyl is usually absent in these beers but may be present at very low levels. Slight acidity may be present but is not required.,Medium-light to medium,"This style of beer should exhibit the fresh character of hops. Oxidized or aged character should not be present. Versions brewed with darker malts, non-traditional yeasts, fruits, spices, or other flavorings are categorized as Experimental India Pale Ale.",1.038-1.048 (9.5-11.9 °Plato),1.008-1.012 (2.1-3.1 °Plato),3.20%-4.20% (4.10%-5.30%),30-40,40+(80+ EBC)
25,Export-Style Stout,Black,Opaque,Coffee-like roasted barley and roasted malt aromas are prominent. Initial malt and light caramel ﬂavors give way to a distinctive dry-roasted bitterness in the ﬁnish.,Low to medium-low,"May be analytically high, but the perception is lessened by malt sweetness.",Fruity esters are low. Diacetyl is usually absent in these beers but may be present at very low levels. Slight acidity is acceptable.,Medium to full,"Grist may include oats, wheat, or other adjuncts to promote haziness. Lactose may be used to enhance body and balance. Lactose should not lend to, or overwhelm, the flavor character of these beers. The term ‘juicy’ is frequently used to describe taste and aroma hop-derived attributes often present in these beers which result from late, often very large, additions of hops. A juicy character is not required, however. Likewise the term ‘hazy’ is frequently used to describe the appearance of many examples of these beers. However, some versions may exhibit very low cloudiness. Other hop-derived attributes such as citrus, pine, spice, floral or others may be present with or without the presence of juicy attributes. These beers can exhibit astringency and heat (sometimes referred to as ‘hop burn’) as a result of very high hop usage rates and excessive contact time in beer, which can detract from balance and drinkability when present above low levels. Versions of this style brewed with darker malts, non-traditional ale yeasts, fruits, spices, or other flavorings are categorized as Experimental India Pale Ale.",1.052-1.072 (12.9-17.5 °Plato),1.008-1.02 (2.1-5.1 °Plato),4.50%-6.40% (5.60%-8.00%),30-60,40+(80+ EBC)
26,Golden or Blonde Ale,Straw to gold,Chill haze should not be present,"Low malt sweetness and toast, cereal-like or other pale malt attributes should be present in ﬂavor and aroma at low to medium-low levels.","Hop aroma and ﬂavor should be very low to medium, with attributes typical of hops of any origin present but not dominant.",Low to medium,Fruity esters may be present at low to medium-low levels. Diacetyl and DMS should not be present.,Low to medium with a crisp finish,"Vinous, sherry-like, or port-like attributes arising from oxidation may be considered positive when in harmony with overall flavor profile. Low carbonation may be acceptable in this style.",1.045-1.054 (11.2-13.3 °Plato),1.008-1.016 (2.1-4.1 °Plato),3.20%-4.00% (4.10%-5.10%),15-25,3-7(6-14 EBC)
27,Session India Pale Ale,Straw to copper,Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature.,A low to medium maltiness should be present in aroma and ﬂavor.,"Hop aroma and ﬂavor are medium to high, exhibiting a wide range of attributes. Overall hop character is assertive.",Medium to high,Fruity esters are low to medium. Diacetyl should not be present.,Low to medium,This style is brewed with at least 50% wheat malt.,1.008-1.052 (2.1-12.9 °Plato),1.005-1.014 (1.3-4.6 °Plato),0.40%-4.00% (0.50%-5.00%),20-55,3-12(6-24 EBC)
28,American-Style Amber/Red Ale,Amber to reddish-brown,Chill haze is acceptable at low temperatures,Medium-high to high maltiness with low to medium caramel character,"Low to medium-low, exhibiting a wide range of attributes",Medium to medium-high,"Fruity esters, if present, are low.",Medium to medium-high,"When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information should include the traditional style of porter as well as the wood type used as a smoke source (e.g. ‘alder smoked brown porter’).",1.048-1.058 (11.9-14.3 °Plato),1.01-1.018 (2.5-4.6 °Plato),3.50%-4.80% (4.40%-6.10%),25-45,8-18(16-36 EBC)
29,American-Style Pale Ale,Straw to light amber,Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature.,Low caramel malt aroma is allowable. Low to medium maltiness may include low caramel malt character.,"High, exhibiting a wide range of attributes including ﬂoral, citrus, fruity (berry, tropical, stone fruit and other), sulfur, diesel-like, onion-garlic, catty, piney, resinous, and many others.",Medium to medium-high,Fruity esters may be low to high. Diacetyl should not be present.,Medium,"Beers exhibiting wood-derived characters or characters of liquids previously aged in wood are categorized as Wood-Aged Sour Beer. Fruited versions are categorized elsewhere. Competition organizers may create subcategories which reflect groups of entries based on color, hop varieties, microflora, spices, or other ingredients, etc. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as ingredients or processing which influence perceived sensory outcomes.",1.044-1.05 (11-12.4 °Plato),1.008-1.014 (2.1-3.6 °Plato),3.50%-4.30% (4.40%-5.40%),30-50,4-7(8-14 EBC)
30,Juicy or Hazy Pale Ale,Straw to light amber,"Can vary widely from very low haze to very high degree of cloudiness. Starch, yeast, hop, protein or other compounds contribute to a wide range of hazy appearance within this category.",Low to medium-low malt aroma and flavor may be present,"Medium-high to very high hop aroma and flavor are present, exhibiting a very wide range of attributes, especially fruity, tropical, juicy, and many others.",Low to medium. The impression of bitterness is soft and well-integrated into overall balance and may differ significantly from measured or calculated IBU levels.,Medium-low to medium-high fruity esters are present and can contribute to the perception of sweetness and be complementary to the hop profile. Diacetyl should not be present.,Medium-low to medium-high. Perceived silky or full mouthfeel may contribute to overall flavor profile.,"Fruit aromas, ranging from subtle to intense, should be present. Fruit or fruit extracts, used as an adjunct in either the mash, kettle, primary or secondary fermentation, provide harmonious fruit character ranging from subtle to intense. Beers exhibiting wood-derived attributes or evidence of liquids previously aged in wood are categorized as Fruited Wood-Aged Sour Beer. Within the framework of these guidelines, coconut is deﬁned as a vegetable, and beers containing coconut are categorized as Field Beer. Likewise beers containing chili peppers are categorized as Chili Beer. Fruited versions of Berliner-Style Weisse and Belgian-Style Sour Ale are categorized elsewhere. Competition organizers may create subcategories which reflect groups of entries based on color, hop varieties, microflora, spices, or other ingredients, etc. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as ingredients or processing which influence perceived sensory outcomes.",1.044-1.05 (11-12.4 °Plato),1.008-1.014 (2.1-3.6 °Plato),3.50%-4.30% (4.40%-5.40%),5-30; may differ significantly from perceived bitterness,3-7(6-14 EBC)
31,American-Style Strong Pale Ale,Pale to copper,Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature.,Low caramel malt aroma is allowable. Low level maltiness may include low caramel malt character.,"High to very high, exhibiting a wide range of attributes including ﬂoral, citrus, fruity (berry, tropical, stone fruit and other), sulfur, diesel-like, onion-garlic, catty, piney, resinous, and many others.",High,Fruity esters may be low to high. Diacetyl should not be present.,Medium,"These beers are highly attenuated with an assertive hop character and a dry, crisp finish. While the West Coast India Pale Ale style has been around for some time, the style itself has progressed over time from original inception to modern day examples – this guideline serves to align directly with modern-day examples of the style.",1.05-1.058 (12.4-14.2 °Plato),1.006-1.01 (1.6-2.7 °Plato),4.40%-5.05% (5.60%-6.40%),40-50,3-8(6-16 EBC)
