Feature,value
Original Gravity (°Plato),1.04-1.056 (10-13.8 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.016 (2.1-4.1 °Plato)
Alcohol by Weight (Volume),3.50%-4.20% (4.40%-5.30%)
Bitterness (IBU),20-40
Color SRM (EBC),5-12(10-24 EBC)
Category,British-Style India Pale Ale
Color,Gold to copper
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,Medium malt ﬂavor should be present
Perceived Hop Aroma & Flavor,"Medium to high, expressed as ﬂoral, herbal, earthy, stone fruit or other attributes from high hopping rates."
Perceived Bitterness,Medium to high
Fermentation Characteristics,"Fruity esters are medium to high. Traditional interpretations are characterized by medium to medium-high alcohol content. The use of water with high mineral content results in a crisp, dry beer with a subtle and balanced character of sulfur compounds. Diacetyl can be absent or may be present at very low levels."
Body,Medium
Additional notes,"A wide range of hop varieties may be used for bitterness or for approximating traditional English hop character. The use of water with high mineral content may result in a crisp, dry beer rather than a malt-accentuated version."
Original Gravity (°Plato),1.046-1.064 (11.4-15.7 °Plato)
Apparent Extract/Final Gravity (°Plato),1.012-1.018 (3.1-4.6 °Plato)
Alcohol by Weight (Volume),3.60%-5.60% (4.50%-7.10%)
Bitterness (IBU),35-63
Color SRM (EBC),6-14(12-28 EBC)
Category,Strong Ale
Color,Amber to dark brown
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,Medium to high malt and caramel sweetness. Very low levels of roast malt may be present.
Perceived Hop Aroma & Flavor,Not present to very low
Perceived Bitterness,"Present but minimal, and balanced with malt ﬂavors."
Fermentation Characteristics,"Rich, often sweet and complex fruity ester attributes can contribute to the profile of Strong Ales. Alcohol types can be varied and complex. Diacetyl is usually absent in these beers but may be present at very low levels."
Body,Medium to full
Additional notes,"When using these guidelines as the basis for evaluating entries at competitions, competition organizers may choose to split this category into subcategories which reflect strong and very strong versions."
Original Gravity (°Plato),1.06-1.125 (14.7-29 °Plato)
Apparent Extract/Final Gravity (°Plato),1.014-1.04 (3.6-10 °Plato)
Alcohol by Weight (Volume),5.50%-8.90% (7.00%-11.30%)
Bitterness (IBU),30-65
Color SRM (EBC),8-21(16-42 EBC)
Category,Old Ale
Color,Copper-red to very dark
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,Fruity esters can enhance and complement the malt aroma and ﬂavor proﬁle. Old Ales have malt and sometimes caramel sweetness.
Perceived Hop Aroma & Flavor,Very low to medium
Perceived Bitterness,"Present but minimal, and balanced with malt flavors."
Fermentation Characteristics,"Fruity esters can contribute to the character of these beers. Alcohol types can be varied and complex. A distinctive quality of Old Ales is that they undergo an aging process, often for years. Aging can occur on their yeast either in bulk storage or through conditioning in the bottle. This contributes to a rich, wine-like, and often sweet, oxidized character. Complex estery attributes may also emerge. Diacetyl is usually absent in these beers but may be present at very low levels."
Body,Medium to full
Additional notes,"Low level attributes typical of wood aging such as vanillin are acceptable. Brettanomyces and acidity reﬂect historical character; low level attributes such as horsey, goaty, leathery, phenolic, etc. and acidity may be present and balanced with other ﬂavors. Attributes arising from liquids previously aged in a barrel, such as bourbon or sherry, should not be present. Beers that exhibit such attributes are categorized as wood- and barrel-aged beers. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may choose to split this category into subcategories which reflect strong and very strong versions, or historic and modern versions."
Original Gravity (°Plato),1.058-1.088 (14.3-21.1 °Plato)
Apparent Extract/Final Gravity (°Plato),1.014-1.03 (3.6-7.6 °Plato)
Alcohol by Weight (Volume),5.00%-7.20% (6.30%-9.10%)
Bitterness (IBU),30-65
Color SRM (EBC),12-30(24-60 EBC)
Category,English-Style Pale Mild Ale
Color,Light amber to medium amber
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,Malt ﬂavor and aroma dominate the ﬂavor proﬁle
Perceived Hop Aroma & Flavor,Very low to low
Perceived Bitterness,Very low to low
Fermentation Characteristics,Diacetyl is usually absent in these beers but may be present at very low levels. Fruity esters are very low to medium-low.
Body,Low to medium-low
Original Gravity (°Plato),1.03-1.036 (7.6-9 °Plato)
Apparent Extract/Final Gravity (°Plato),1.004-1.008 (1-2.1 °Plato)
Alcohol by Weight (Volume),2.70%-3.40% (3.40%-4.40%)
Bitterness (IBU),10-20
Color SRM (EBC),6-9(12-18 EBC)
Category,English-Style Dark Mild Ale
Color,Reddish-brown to very dark
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,"Malt attributes such as caramel, licorice, roast or others may be present in aroma and flavor."
Perceived Hop Aroma & Flavor,Very low
Perceived Bitterness,Very low to low
Fermentation Characteristics,Diacetyl is usually absent in these beers but may be present at very low levels. Fruity esters are very low to medium-low.
Body,Medium-low to medium
Original Gravity (°Plato),1.03-1.036 (7.6-9 °Plato)
Apparent Extract/Final Gravity (°Plato),1.004-1.008 (1-2.1 °Plato)
Alcohol by Weight (Volume),2.70%-3.40% (3.40%-4.40%)
Bitterness (IBU),10-24
Color SRM (EBC),17-34(34-68 EBC)
Category,English-Style Brown Ale
Color,Copper to dark brown
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,Roast malt may contribute to a biscuit or toasted aroma proﬁle. Roast malt may contribute to the ﬂavor proﬁle. Malt profile can range from dry to sweet.
Perceived Hop Aroma & Flavor,Very low
Perceived Bitterness,Very low to low
Fermentation Characteristics,Low to medium-low level fruity esters are appropriate. Diacetyl is usually absent in these beers but may be present at very low levels.
Body,Medium
Original Gravity (°Plato),1.04-1.05 (10-12.4 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.014 (2.1-3.6 °Plato)
Alcohol by Weight (Volume),3.30%-4.70% (4.20%-6.00%)
Bitterness (IBU),12-25
Color SRM (EBC),12-24(24-48 EBC)
Category,Brown Porter
Color,Dark brown to very dark. May have red tint.
Clarity,"Beer color may be too dark to perceive clarity. When clarity is perceivable, chill haze is acceptable at low temperatures."
Perceived Malt Aroma & Flavor,Low to medium malt sweetness. Caramel and chocolate attributes are acceptable. Strong roast barley or strong burnt or black malt character should not be present.
Perceived Hop Aroma & Flavor,Very low to medium
Perceived Bitterness,Medium
Fermentation Characteristics,Fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at low levels.
Body,Low to medium
Original Gravity (°Plato),1.04-1.05 (10-12.4 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.014 (1.5-3.6 °Plato)
Alcohol by Weight (Volume),3.50%-4.70% (4.40%-6.00%)
Bitterness (IBU),20-30
Color SRM (EBC),20-35(40-70 EBC)
Category,Robust Porter
Color,Very dark brown to black
Clarity,Opaque
Perceived Malt Aroma & Flavor,"Medium to medium-high. Malty sweetness, roast malt, cocoa and caramel should be in harmony with bitterness from dark malts."
Perceived Hop Aroma & Flavor,Very low to medium
Perceived Bitterness,Medium to high
Fermentation Characteristics,Fruity esters should be present and balanced with all other characters. Diacetyl should not be present.
Body,Medium to full
Original Gravity (°Plato),1.045-1.06 (11.2-14.7 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.016 (2.1-4.1 °Plato)
Alcohol by Weight (Volume),4.00%-5.20% (5.10%-6.60%)
Bitterness (IBU),25-40
Color SRM (EBC),30+(60+ EBC)
Category,Sweet Stout or Cream Stout
Color,Black
Clarity,Opaque
Perceived Malt Aroma & Flavor,"Medium to medium-high. Malt sweetness, chocolate and caramel should contribute to the aroma and should dominate the ﬂavor proﬁle. Roast ﬂavor may be present. Low to medium-low roasted malt-derived bitterness should be present."
Perceived Hop Aroma & Flavor,Should not be present
Perceived Bitterness,Low to medium-low and serves to balance and suppress some of the sweetness without contributing apparent ﬂavor and aroma
Fermentation Characteristics,"Fruity esters, if present, are low. Diacetyl should not be present."
Body,Full-bodied. Body can be increased with the addition of milk sugar (lactose).
Original Gravity (°Plato),1.045-1.056 (11.2-13.8 °Plato)
Apparent Extract/Final Gravity (°Plato),1.012-1.02 (3.1-5.1 °Plato)
Alcohol by Weight (Volume),2.50%-5.00% (3.20%-6.30%)
Bitterness (IBU),15-25
Color SRM (EBC),40+(80+ EBC)
Category,Oatmeal Stout
Color,Dark brown to black
Clarity,"Beer color may be too dark to perceive. When clarity is perceivable, chill haze is acceptable at low temperatures."
Perceived Malt Aroma & Flavor,"Coffee, caramel, roasted malt, or chocolate aromas should be prominent. Roasted malt character of caramel or chocolate should be smooth without bitterness."
Perceived Hop Aroma & Flavor,"Optional, but if present should not upset the overall balance."
Perceived Bitterness,Medium
Fermentation Characteristics,"Oatmeal is used in the grist, resulting in a pleasant, full ﬂavor without being grainy. Fruity esters are not present to very low. Diacetyl is usually absent in these beers but may be present at very low levels."
Body,Full with an often-silky mouthfeel
Original Gravity (°Plato),1.038-1.056 (9.5-13.8 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.02 (2.1-5.1 °Plato)
Alcohol by Weight (Volume),3.00%-4.80% (3.80%-6.10%)
Bitterness (IBU),20-40
Color SRM (EBC),20+(40+ EBC)
Category,Scotch Ale or Wee Heavy
Color,Light reddish-brown to very dark
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,Scotch Ales are aggressively malty with a rich and dominant sweet malt aroma and ﬂavor. A caramel character is often part of the proﬁle. Dark roasted malt ﬂavors may be present at low levels.
Perceived Hop Aroma & Flavor,Not present to very low
Perceived Bitterness,Not present to very low
Fermentation Characteristics,"Fruity esters, if present, are generally at low levels. Diacetyl is usually absent in these beers but may be present at low levels."
Body,Full
Additional notes,"Pleasant, low-level oxidation is acceptable in Scotch Ales. Examples exhibiting more prevalent oxidation are categorized as Aged Beer. While there are conflicting theories as to whether traditional Scotch Ales exhibited peat smoke character, the current marketplace offers many examples with peat smoke character present at low to medium levels. Peat smoke attributes may be absent or present at low to medium levels. Versions exhibiting higher levels of smoke character are categorized as Smoke Beer. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may create subcategories which reflect groups of entries based on presence or absence of peat smoke-derived attributes."
Original Gravity (°Plato),1.072-1.085 (17.5-20.4 °Plato)
Apparent Extract/Final Gravity (°Plato),1.016-1.028 (4.1-7.1 °Plato)
Alcohol by Weight (Volume),5.20%-6.70% (6.60%-8.50%)
Bitterness (IBU),25-35
Color SRM (EBC),15-30(30-60 EBC)
Category,British-Style Imperial Stout
Color,"Ranging from dark copper typical of some historic examples, to very dark more typical of contemporary examples"
Clarity,"Opaque in darker versions. When clarity is perceivable, chill haze is acceptable at low temperatures."
Perceived Malt Aroma & Flavor,"Extremely rich malty ﬂavor, often expressed as toffee or caramel, and may be accompanied by very low roasted malt astringency."
Perceived Hop Aroma & Flavor,"Very low to medium, with ﬂoral, citrus or herbal qualities."
Perceived Bitterness,Medium and should not overwhelm the overall balance. The bitterness may be higher in darker versions while maintaining balance with sweet malt.
Fermentation Characteristics,High alcohol content is evident. Fruity esters if present are medium to high. Diacetyl should not be present.
Body,Full
Additional notes,This style was also originally called ‘Russian Imperial Stout’.
Original Gravity (°Plato),1.08-1.1 (19.3-23.7 °Plato)
Apparent Extract/Final Gravity (°Plato),1.02-1.03 (5.1-7.6 °Plato)
Alcohol by Weight (Volume),5.50%-9.50% (7.00%-12.00%)
Bitterness (IBU),45-65
Color SRM (EBC),20-35+(40-70+ EBC)
Category,British-Style Barley Wine Ale
Color,Tawny copper to deep red/copper-garnet
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,Residual malty sweetness is high
Perceived Hop Aroma & Flavor,Hop aroma and ﬂavor are very low to medium. English type hops are often used but are not required for this style.
Perceived Bitterness,Low to medium
Fermentation Characteristics,Complexity of alcohols and fruity ester attributes are often high and balanced with the high alcohol content. Low levels of diacetyl are acceptable. Low carbonation is acceptable in this style.  Caramel and some oxidized character (vinous aromas or ﬂavors) may be considered positive attributes.
Body,Full
Original Gravity (°Plato),1.085-1.12 (20.4-28 °Plato)
Apparent Extract/Final Gravity (°Plato),1.024-1.028 (6.1-7.1 °Plato)
Alcohol by Weight (Volume),6.70%-9.60% (8.50%-12.20%)
Bitterness (IBU),40-65
Color SRM (EBC),11-36(22-72 EBC)
Category,Wood- and Barrel-Aged Beer
Color,Varies with underlying style and can be influenced by the color of added fruit(s) if any
Clarity,Varies with underlying style
Perceived Malt Aroma & Flavor,Varies with underlying style
Perceived Hop Aroma & Flavor,Varies with underlying style
Perceived Bitterness,Varies with underlying style
Fermentation Characteristics,Typical of underlying style of beer being aged
Body,Varies with underlying style
Additional notes,"These are any traditional or experimental style of lager, ale or hybrid beer aged in either a wooden barrel or in contact with wood chips, spirals, strips or many other formats. These beers are aged with the intention of developing unique attributes imparted by the wood, or liquids that had previously been stored in contact with the wood. Wood-aging does not necessarily impart wood flavors, but does result in distinctive sensory outcomes. Used sherry, rum, whiskey, tequila, port, wine, and other barrels are often used, imparting complexity and uniqueness to a beer. A balance of flavor, aroma, and mouthfeel results from the marriage of new beer with attributes imparted by the wood or barrel. Categorizing these beers can be complex. Sour versions which do not exhibit attributes typical of Brettanomyces are categorized as Wood-Aged Sour Beer. Wood-Aged Beers which exhibit sensory attributes typical of Brettanomyces alone, or of Brettanomyces and other microbes, are categorized as Brett Beer or Mixed-Culture Brett Beer respectively. Wood-aged versions of various classic India Pale Ales are categorized as Experimental India Pale Ale. Belgian-style ales that exhibit attributes of wood-aging are categorized as Other Belgian Ale or within other Belgian categories. Various fruited Belgian-style beers that exhibit attributes of wood-aging are categorized as BelgianStyle Fruit Beer; similarly, Saison aged in wood and"
Original Gravity (°Plato),Varies with style
Apparent Extract/Final Gravity (°Plato),Varies with style
Alcohol by Weight (Volume),Varies with style
Bitterness (IBU),Varies with style
Color SRM (EBC),Varies with style
Category,Irish-Style Red Ale
Color,Copper-red to reddish-brown
Clarity,Chill haze or yeast haze may be present at low levels
Perceived Malt Aroma & Flavor,"Low to medium candy-like caramel malt sweetness should be present in ﬂavor. A toasted malt character should be present, and there may be a slight roast barley or roast malt presence."
Perceived Hop Aroma & Flavor,Not present to medium
Perceived Bitterness,Medium
Fermentation Characteristics,Low level fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at very low levels.
Body,Medium
Original Gravity (°Plato),1.04-1.048 (10-11.9 °Plato)
Apparent Extract/Final Gravity (°Plato),1.01-1.014 (2.6-3.6 °Plato)
Alcohol by Weight (Volume),3.20%-3.80% (4.00%-4.80%)
Bitterness (IBU),20-28
Color SRM (EBC),11-18(22-36 EBC)
Category,Classic Irish-Style Dry Stout
Color,Black
Clarity,Opaque
Perceived Malt Aroma & Flavor,The prominence of coffee-like roasted barley and a moderate degree of roasted malt aroma and flavor deﬁnes much of the character. The hallmark dry-roasted attributes typical of Dry Stout result from the use of roasted barley. Initial malt and light caramel ﬂavors give way to a distinctive dry-roasted bitterness in the ﬁnish.
Perceived Hop Aroma & Flavor,European hop character may range from not present to low in aroma and ﬂavor
Perceived Bitterness,Medium to medium-high
Fermentation Characteristics,Fruity esters are low relative to malt and roasted barley as well as hop bitterness. Diacetyl is usually absent in these beers but may be present at very low levels. Slight acidity may be present but is not required.
Body,Medium-light to medium
Additional notes,Head retention should be persistent
Original Gravity (°Plato),1.038-1.048 (9.5-11.9 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.012 (2.1-3.1 °Plato)
Alcohol by Weight (Volume),3.20%-4.20% (4.10%-5.30%)
Bitterness (IBU),30-40
Color SRM (EBC),40+(80+ EBC)
Category,Export-Style Stout
Color,Black
Clarity,Opaque
Perceived Malt Aroma & Flavor,Coffee-like roasted barley and roasted malt aromas are prominent. Initial malt and light caramel ﬂavors give way to a distinctive dry-roasted bitterness in the ﬁnish.
Perceived Hop Aroma & Flavor,Low to medium-low
Perceived Bitterness,"May be analytically high, but the perception is lessened by malt sweetness."
Fermentation Characteristics,Fruity esters are low. Diacetyl is usually absent in these beers but may be present at very low levels. Slight acidity is acceptable.
Body,Medium to full
Additional notes,Head retention should be persistent
Original Gravity (°Plato),1.052-1.072 (12.9-17.5 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.02 (2.1-5.1 °Plato)
Alcohol by Weight (Volume),4.50%-6.40% (5.60%-8.00%)
Bitterness (IBU),30-60
Color SRM (EBC),40+(80+ EBC)
Category,Golden or Blonde Ale
Color,Straw to gold
Clarity,Chill haze should not be present
Perceived Malt Aroma & Flavor,"Low malt sweetness and toast, cereal-like or other pale malt attributes should be present in ﬂavor and aroma at low to medium-low levels."
Perceived Hop Aroma & Flavor,"Hop aroma and ﬂavor should be very low to medium, with attributes typical of hops of any origin present but not dominant."
Perceived Bitterness,Low to medium
Fermentation Characteristics,Fruity esters may be present at low to medium-low levels. Diacetyl and DMS should not be present.
Body,Low to medium with a crisp finish
Original Gravity (°Plato),1.045-1.054 (11.2-13.3 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.016 (2.1-4.1 °Plato)
Alcohol by Weight (Volume),3.20%-4.00% (4.10%-5.10%)
Bitterness (IBU),15-25
Color SRM (EBC),3-7(6-14 EBC)
Category,Session India Pale Ale
Color,Straw to copper
Clarity,Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature.
Perceived Malt Aroma & Flavor,A low to medium maltiness should be present in aroma and ﬂavor.
Perceived Hop Aroma & Flavor,"Hop aroma and ﬂavor are medium to high, exhibiting a wide range of attributes. Overall hop character is assertive."
Perceived Bitterness,Medium to high
Fermentation Characteristics,Fruity esters are low to medium. Diacetyl should not be present.
Body,Low to medium
Additional notes,"Session India Pale Ales are lower alcohol versions of any of the various American, Juicy or Hazy, British or other India Pale Ale styles from around the world. Balance and high drinkability are key to a successful Session India Pale Ale. Hop aroma and flavor attributes hew to the underlying India Pale Ale style being made at lower strength. Beers exceeding 5.0% abv are not considered Session India Pale Ales. Beers under 5.0% abv (4.0% abw) which meet the criteria for another classic or traditional style category are not considered Session India Pale Ales. An India Pale Ale made to alcohol content below 0.5% abv (0.4% abw) is categorized as a Non-Alcohol Malt Beverage."
Original Gravity (°Plato),1.008-1.052 (2.1-12.9 °Plato)
Apparent Extract/Final Gravity (°Plato),1.005-1.014 (1.3-4.6 °Plato)
Alcohol by Weight (Volume),0.40%-4.00% (0.50%-5.00%)
Bitterness (IBU),20-55
Color SRM (EBC),3-12(6-24 EBC)
Category,American-Style Amber/Red Ale
Color,Amber to reddish-brown
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,Medium-high to high maltiness with low to medium caramel character
Perceived Hop Aroma & Flavor,"Low to medium-low, exhibiting a wide range of attributes"
Perceived Bitterness,Medium to medium-high
Fermentation Characteristics,"Fruity esters, if present, are low."
Body,Medium to medium-high
Original Gravity (°Plato),1.048-1.058 (11.9-14.3 °Plato)
Apparent Extract/Final Gravity (°Plato),1.01-1.018 (2.5-4.6 °Plato)
Alcohol by Weight (Volume),3.50%-4.80% (4.40%-6.10%)
Bitterness (IBU),25-45
Color SRM (EBC),8-18(16-36 EBC)
Category,American-Style Pale Ale
Color,Straw to light amber
Clarity,Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature.
Perceived Malt Aroma & Flavor,Low caramel malt aroma is allowable. Low to medium maltiness may include low caramel malt character.
Perceived Hop Aroma & Flavor,"High, exhibiting a wide range of attributes including ﬂoral, citrus, fruity (berry, tropical, stone fruit and other), sulfur, diesel-like, onion-garlic, catty, piney, resinous, and many others."
Perceived Bitterness,Medium to medium-high
Fermentation Characteristics,Fruity esters may be low to high. Diacetyl should not be present.
Body,Medium
Original Gravity (°Plato),1.044-1.05 (11-12.4 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.014 (2.1-3.6 °Plato)
Alcohol by Weight (Volume),3.50%-4.30% (4.40%-5.40%)
Bitterness (IBU),30-50
Color SRM (EBC),4-7(8-14 EBC)
Category,Juicy or Hazy Pale Ale
Color,Straw to light amber
